experiment,scenario,sector,category,psi,sigma,omega,GDP_pct_change,Welfare_pct_change,Spillover_pct_change,solver_status,termination_condition,baseline_termination
CET_Armington_joint,low_minus_20pct,sec27,Industry,0.4808,0.32000000000000006,0.678,0.5541292489509744,0.042890149320016946,0.41259131372818186,ok,optimal,optimal
CET_Armington_joint,low_minus_20pct,sec5,Industry,0.4808,0.32000000000000006,0.678,0.32702924843585185,0.3550719793762648,0.191539894866948,ok,optimal,optimal
CET_Armington_joint,low_minus_20pct,sec24,Industry,0.4808,0.32000000000000006,0.678,0.21703601533523958,0.16380870900912645,0.20345257799172942,ok,optimal,optimal
CET_Armington_joint,low_minus_20pct,sec47,Service,0.4,0.6400000000000001,0.4,0.00948782983828902,0.00016912792997764565,0.0027573209898716883,ok,optimal,optimal
CET_Armington_joint,low_minus_20pct,sec61,Service,0.4,0.6400000000000001,0.4,0.013973597751067626,0.012701903994179411,0.00797882175885345,ok,optimal,optimal
CET_Armington_joint,low_minus_20pct,sec37,Service,0.4,0.6400000000000001,0.4,0.012006747169966013,0.008945854118608642,0.00748114348880859,ok,optimal,optimal
CET_Armington_joint,baseline,sec27,Industry,0.601,0.4,0.678,0.5569575392473969,0.043412710832852704,0.4071121483645818,ok,optimal,optimal
CET_Armington_joint,baseline,sec5,Industry,0.601,0.4,0.678,0.3270864505753256,0.35501937036794645,0.18523654879148152,ok,optimal,optimal
CET_Armington_joint,baseline,sec24,Industry,0.601,0.4,0.678,0.2184486631476414,0.16409663062746155,0.20411692169824985,ok,optimal,optimal
CET_Armington_joint,baseline,sec47,Service,0.5,0.8,0.4,0.009510544688683523,0.00018683394889143815,0.0026906628109707223,ok,optimal,optimal
CET_Armington_joint,baseline,sec61,Service,0.5,0.8,0.4,0.014026668815477096,0.012714781589367053,0.007967442147638379,ok,optimal,optimal
CET_Armington_joint,baseline,sec37,Service,0.5,0.8,0.4,0.011964832255799744,0.008988259953933339,0.00673143804365822,ok,optimal,optimal
CET_Armington_joint,high_plus_20pct,sec27,Industry,0.7212,0.48,0.678,0.5597777549357381,0.04393013956468831,0.40163032116226044,ok,optimal,optimal
CET_Armington_joint,high_plus_20pct,sec5,Industry,0.7212,0.48,0.678,0.3271430936068582,0.35496819455768586,0.17892148283695325,ok,optimal,optimal
CET_Armington_joint,high_plus_20pct,sec24,Industry,0.7212,0.48,0.678,0.21985753261397215,0.16438173852536703,0.2047739796929943,ok,optimal,optimal
CET_Armington_joint,high_plus_20pct,sec47,Service,0.6,0.96,0.4,0.009533062386331928,0.00020434128039470762,0.002623684170496242,ok,optimal,optimal
CET_Armington_joint,high_plus_20pct,sec61,Service,0.6,0.96,0.4,0.014079580844363247,0.012727540231704701,0.007955692803411088,ok,optimal,optimal
CET_Armington_joint,high_plus_20pct,sec37,Service,0.6,0.96,0.4,0.011922579390090669,0.009030588249959842,0.005978860431092475,ok,optimal,optimal
CES_value_added,low_minus_20pct,sec27,Industry,0.601,0.4,0.5424000000000001,0.556959213849997,0.04331353059187807,0.40709331695394957,ok,optimal,optimal
CES_value_added,low_minus_20pct,sec5,Industry,0.601,0.4,0.5424000000000001,0.3270911828983815,0.35426510068134903,0.18525968523288144,ok,optimal,optimal
CES_value_added,low_minus_20pct,sec24,Industry,0.601,0.4,0.5424000000000001,0.2184097785369152,0.16643887273405217,0.20432946381755684,ok,optimal,optimal
CES_value_added,low_minus_20pct,sec47,Service,0.5,0.8,0.32000000000000006,0.009511718937745871,0.00011372374914854978,0.0026808595102693882,ok,optimal,optimal
CES_value_added,low_minus_20pct,sec61,Service,0.5,0.8,0.32000000000000006,0.014026460514978474,0.012728242539203547,0.007969182955992797,ok,optimal,optimal
CES_value_added,low_minus_20pct,sec37,Service,0.5,0.8,0.32000000000000006,0.011964840860556344,0.008987706192684844,0.006731365338691997,ok,optimal,optimal
CES_value_added,baseline,sec27,Industry,0.601,0.4,0.678,0.5569575392473969,0.043412710832852704,0.4071121483645818,ok,optimal,optimal
CES_value_added,baseline,sec5,Industry,0.601,0.4,0.678,0.3270864505753256,0.35501937036794645,0.18523654879148152,ok,optimal,optimal
CES_value_added,baseline,sec24,Industry,0.601,0.4,0.678,0.2184486631476414,0.16409663062746155,0.20411692169824985,ok,optimal,optimal
CES_value_added,baseline,sec47,Service,0.5,0.8,0.4,0.009510544688683523,0.00018683394889143815,0.0026906628109707223,ok,optimal,optimal
CES_value_added,baseline,sec61,Service,0.5,0.8,0.4,0.014026668815477096,0.012714781589367053,0.007967442147638379,ok,optimal,optimal
CES_value_added,baseline,sec37,Service,0.5,0.8,0.4,0.011964832255799744,0.008988259953933339,0.00673143804365822,ok,optimal,optimal
CES_value_added,high_plus_20pct,sec27,Industry,0.601,0.4,0.8136,0.5569563071607365,0.04348574137615173,0.4071260154500032,ok,optimal,optimal
CES_value_added,high_plus_20pct,sec5,Industry,0.601,0.4,0.8136,0.3270830223293231,0.35557485519563525,0.18521954136871974,ok,optimal,optimal
CES_value_added,high_plus_20pct,sec24,Industry,0.601,0.4,0.8136,0.21847784502397907,0.1623723894367682,0.20396077876744675,ok,optimal,optimal
CES_value_added,high_plus_20pct,sec47,Service,0.5,0.8,0.48,0.009509680813973336,0.00024065356216809922,0.0026978797552642832,ok,optimal,optimal
CES_value_added,high_plus_20pct,sec61,Service,0.5,0.8,0.48,0.01402682217397974,0.012704872213278616,0.007966160649347678,ok,optimal,optimal
CES_value_added,high_plus_20pct,sec37,Service,0.5,0.8,0.48,0.011964825921292749,0.00898866761078492,0.006731491566161837,ok,optimal,optimal
